2017-02-04 20:48:16  
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16                  ---- LaserWeb Comm Server ----                
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16   Use  http://192.168.14.100:8000 to connect this server.
2017-02-04 20:48:16  
2017-02-04 20:48:16 * Updates: 
2017-02-04 20:48:16   Remember to check the commit log on
2017-02-04 20:48:16   https://github.com/LaserWeb/lw.comm-server/commits/master
2017-02-04 20:48:16   regularly, to know about updates and fixes, and then when ready
2017-02-04 20:48:16   update accordingly by running git pull
2017-02-04 20:48:16  
2017-02-04 20:48:16 * Support: 
2017-02-04 20:48:16   If you need help / support, come over to 
2017-02-04 20:48:16   https://plus.google.com/communities/115879488566665599508
2017-02-04 20:48:16 ***************************************************************
2017-02-04 20:48:16  
2017-02-04 20:48:22 App connected!
2017-02-04 20:48:23 INFO: Connecting to USB,COM4,115200
2017-02-04 20:48:23 INFO: Connected to COM4 at 115200
2017-02-04 20:48:23 Smoothieware detected (edge-d792543, Thu Dec 15 2016)
2017-02-04 20:49:36 Run Job (3739845)
2017-02-04 20:49:37 Done: 503 of 236483 (ave. Infinity lines/s)
2017-02-04 20:49:38 Done: 1004 of 236483 (ave. 1004 lines/s)
2017-02-04 20:49:38 Done: 1506 of 236483 (ave. 1506 lines/s)
2017-02-04 20:49:39 Done: 2008 of 236483 (ave. 1004 lines/s)
2017-02-04 20:49:39 Done: 2511 of 236483 (ave. 1256 lines/s)
2017-02-04 20:49:39 Done: 3012 of 236483 (ave. 1004 lines/s)
2017-02-04 20:49:40 Done: 3514 of 236483 (ave. 1171 lines/s)
2017-02-04 20:49:40 Done: 4014 of 236483 (ave. 1338 lines/s)
2017-02-04 20:49:41 Done: 4516 of 236483 (ave. 1129 lines/s)
2017-02-04 20:49:41 Done: 5016 of 236483 (ave. 1254 lines/s)
2017-02-04 20:49:42 Done: 5518 of 236483 (ave. 1104 lines/s)
2017-02-04 20:49:42 Done: 6019 of 236483 (ave. 1204 lines/s)
2017-02-04 20:49:42 Done: 6521 of 236483 (ave. 1087 lines/s)
2017-02-04 20:49:43 Done: 7021 of 236483 (ave. 1170 lines/s)
2017-02-04 20:49:43 Done: 7524 of 236483 (ave. 1254 lines/s)
2017-02-04 20:49:44 Done: 8027 of 236483 (ave. 1147 lines/s)
2017-02-04 20:49:44 Done: 8530 of 236483 (ave. 1219 lines/s)
2017-02-04 20:49:45 Done: 9031 of 236483 (ave. 1129 lines/s)
2017-02-04 20:49:45 Done: 9533 of 236483 (ave. 1192 lines/s)
2017-02-04 20:49:46 Done: 10034 of 236483 (ave. 1115 lines/s)
2017-02-04 20:49:46 Done: 10537 of 236483 (ave. 1171 lines/s)
2017-02-04 20:49:46 Done: 11038 of 236483 (ave. 1104 lines/s)
2017-02-04 20:49:47 Done: 11538 of 236483 (ave. 1154 lines/s)
2017-02-04 20:49:47 Done: 12041 of 236483 (ave. 1204 lines/s)
2017-02-04 20:49:48 Done: 12542 of 236483 (ave. 1140 lines/s)
2017-02-04 20:49:48 Done: 13044 of 236483 (ave. 1186 lines/s)
2017-02-04 20:49:49 Done: 13546 of 236483 (ave. 1129 lines/s)
2017-02-04 20:49:49 Done: 14049 of 236483 (ave. 1171 lines/s)
2017-02-04 20:49:49 Done: 14550 of 236483 (ave. 1119 lines/s)
2017-02-04 20:49:50 Done: 15053 of 236483 (ave. 1158 lines/s)
2017-02-04 20:49:50 Done: 15553 of 236483 (ave. 1196 lines/s)
2017-02-04 20:49:51 Done: 16055 of 236483 (ave. 1147 lines/s)
2017-02-04 20:49:51 Done: 16558 of 236483 (ave. 1183 lines/s)
2017-02-04 20:49:52 Done: 17059 of 236483 (ave. 1137 lines/s)
2017-02-04 20:49:52 Done: 17559 of 236483 (ave. 1171 lines/s)
2017-02-04 20:49:52 Done: 18061 of 236483 (ave. 1129 lines/s)
